PAS_HYDRO
AGRI_ASSOLEMEMNT_PAR_DONNEES
IRR_SIMPLE
ITK_ALTERNATIF_DESACTIVE
1_ILOTS_0_ILOT_HORS_ZONE
PAS_NORMATIF
terrainTest
1/8/2020
0_sINIT

idParcellesnull;sudouest_prairie_41_1
2020;Medium
2021;Medium
2022;Low
2023;Low
2024;High
2025;Medium
2026;Medium
2027;Low
2028;Low
2029;High
2030;Medium
